isotopomer	InChI	value	sd
000	/i1+0,2+0,3+0	0.1221938550666105	0.008437595275358813
001	/i1+0,2+0,3+1	0.10809014396162807	0.012773162063138227
100	/i1+1,2+0,3+0	0.1248698585534917	0.01007928037442277
101	/i1+1,2+0,3+1	0.14177964405710128	0.010540828741093263
010	/i1+0,2+1,3+0	0.1251013413589796	0.008672033085704687
011	/i1+0,2+1,3+1	0.12272354152310137	0.006725919159648193
110	/i1+1,2+1,3+0	0.1245282540781641	0.007453919230536514
111	/i1+1,2+1,3+1	0.13071336140092327	0.005842545259534736
