cumomer	InChI	value	sd
1xx	/i1+1	0.5218911180896804	0.017839569586234935
x1x	/i2+1	0.5030664983611683	0.010213684469686284
xx1	/i3+1	0.5033066909427539	0.01220082993749045
11x	/i1+1,2+1	0.25524161547908736	0.008220296789396014
1x1	/i1+1,3+1	0.2724930054580246	0.013677005587702143
x11	/i2+1,3+1	0.25343690292402465	0.0060742238925952366
111	/i1+1,2+1,3+1	0.13071336140092327	0.005842545259534736
